id,width_init,height_init,scale_first,scale_second,width_inter,height_inter,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
ac36f40c-dd86-462b-9d6e-642701b96278,720,576,0.33,3,238,190,714,570,6656885.308,reconstruct,Super-Resolution,61.1367,113.1086468,27.59584554,0.733903019,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,768,512,0.33,3,253,169,759,507,5943314.923,reconstruct,Super-Resolution,64.7472,396.7363256,22.14578394,0.669792795,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,768,512,0.33,3,253,169,759,507,6635530.618,reconstruct,Super-Resolution,57.9928,130.0757811,26.98883918,0.729761872,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,512,768,0.33,3,169,253,507,759,6159156.314,reconstruct,Super-Resolution,62.4782,109.8252767,27.72378055,0.819496459,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,512,512,0.33,3,169,169,507,507,6527035.056,reconstruct,Super-Resolution,39.3822,69.69948705,29.69850779,0.782377332,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,512,512,0.33,3,169,169,507,507,6953472.016,reconstruct,Super-Resolution,36.967,117.6633021,27.42439329,0.767579772,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,1024,768,0.33,3,338,253,1014,759,7648753.591,reconstruct,Super-Resolution,100.6211,107.1794896,27.82968676,0.89831854,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,529,656,0.33,3,175,216,525,648,6189381.99,reconstruct,Super-Resolution,54.9651,693.0014235,19.72346234,0.83700112,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,787,576,0.33,3,260,190,780,570,6810880.865,reconstruct,Super-Resolution,65.2779,62.37382642,30.18077974,0.876971043,12,True,espcn
55c9b91a-4977-44b0-acfc-b13c5812656c,512,512,0.33,3,169,169,507,507,5454539.667,reconstruct,Super-Resolution,47.1257,131.4770063,26.94230554,0.858680791,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,706,490,0.33,3,233,162,699,486,5319068.317,reconstruct,Super-Resolution,63.8672,153.1991762,26.27823931,0.902385293,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,749,768,0.33,3,247,253,741,759,5333796.769,reconstruct,Super-Resolution,105.4444,362.5270146,22.53739986,0.725333509,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,720,576,0.33,3,238,190,714,570,4818658.003,reconstruct,Super-Resolution,84.4592,113.6753135,27.574142,0.734479494,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,768,512,0.33,3,253,169,759,507,4534840.968,reconstruct,Super-Resolution,84.857,409.3850115,22.00948423,0.668713211,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,768,512,0.33,3,253,169,759,507,5178468.097,reconstruct,Super-Resolution,74.3102,138.7169435,26.7095085,0.72400524,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,512,768,0.33,3,169,253,507,759,4485920.189,reconstruct,Super-Resolution,85.7824,113.7017873,27.57313069,0.81588907,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,512,512,0.33,3,169,169,507,507,4782066.761,reconstruct,Super-Resolution,53.7527,69.43905131,29.71476582,0.784479935,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,512,512,0.33,3,169,169,507,507,5570547.175,reconstruct,Super-Resolution,46.1443,117.1720963,27.44256161,0.767760225,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,1024,768,0.33,3,338,253,1014,759,5611924.061,reconstruct,Super-Resolution,137.1412,104.8808632,27.92384108,0.902554958,12,True,fsrcnn
55c9b91a-4977-44b0-acfc-b13c5812656c,529,656,0.33,3,175,216,525,648,4619953.8,reconstruct,Super-Resolution,73.6371,654.6285435,19.97085423,0.842390985,12,True,fsrcnn
