id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,512,512,4,2048,2048,21891305.07,one_way,Bicubic,191.5968,0.034323374,62.77490383,0.999833414,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,512,512,4,2048,2048,21010094.53,one_way,Bicubic,199.6328,0.069742839,59.69580742,0.999797044,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,500,480,4,2000,1920,20414824.99,one_way,Bicubic,188.0986,0.187905556,55.3914074,0.999823471,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,288,288,4,1152,1152,23096176.64,one_way,Bicubic,57.4599,0.016702032,65.90311052,0.999940727,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,256,256,4,1024,1024,19450311.16,one_way,Bicubic,53.9105,0.073109945,59.49103906,0.9999189,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,256,256,4,1024,1024,20953583.73,one_way,Bicubic,50.0428,0.175048828,55.69921153,0.999892216,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,128,128,4,512,512,18838950.77,one_way,Bicubic,13.915,0.029052734,63.49893347,0.999937344,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,1024,1024,4,4096,4096,21362085.68,one_way,Bicubic,785.3735,0.176421165,55.66529674,0.999895951,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,1024,1024,4,4096,4096,26471938.88,one_way,Bicubic,633.7736,0.045091947,61.58981374,0.999942014,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,512,512,4,2048,2048,20450462.66,one_way,Lanczos,205.0958,0.041754405,61.92378065,0.999899587,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,512,512,4,2048,2048,19579505.28,one_way,Lanczos,214.2191,0.043263753,61.76956168,0.999792882,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,512,512,4,2048,2048,19644081.05,one_way,Lanczos,213.5149,0.08047994,59.07392718,0.999718015,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,500,480,4,2000,1920,18923182.23,one_way,Lanczos,202.9257,0.264886111,53.90021174,0.999756741,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,288,288,4,1152,1152,20945983.48,one_way,Lanczos,63.3584,0.016581469,65.93457367,0.999951216,10,False,-
c6ee66f5-2a5d-430d-bdf0-69681a5d8212,256,256,4,1024,1024,18105242.8,one_way,Lanczos,57.9156,0.088297526,58.67131825,0.999918967,10,False,-
